epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.0463,1.98832,2.47827,1.19121,0.62279,0.63514,0.65462,0.24657,2.11467,1.67885,1.35002,0.00332982,0.00332982,0.00332982
2,190.814,1.79684,1.19867,1.1137,0.69494,0.63773,0.66896,0.26405,2.11131,1.45143,1.31573,0.00666243,0.00666243,0.00666243
3,280.878,1.81833,1.17593,1.12411,0.58507,0.61492,0.58776,0.21929,2.25862,1.58377,1.4272,0.00999215,0.00999215,0.00999215
4,370.762,1.81624,1.15907,1.1336,0.69861,0.66613,0.6925,0.252,2.20957,1.61648,1.37854,0.00999023,0.00999023,0.00999023
5,460.323,1.76088,1.06514,1.11657,0.70962,0.66009,0.70694,0.27013,2.10706,1.45365,1.37638,0.00998264,0.00998264,0.00998264
6,549.899,1.72405,1.00497,1.1046,0.69529,0.66942,0.67371,0.24299,2.23407,1.45541,1.38977,0.00997288,0.00997288,0.00997288
7,639.664,1.70216,0.96615,1.09337,0.72662,0.68487,0.69242,0.24909,2.3484,1.42299,1.46278,0.00996097,0.00996097,0.00996097
8,729.496,1.6829,0.92923,1.08395,0.76274,0.69783,0.69171,0.27586,2.1127,1.4114,1.35677,0.0099469,0.0099469,0.0099469
9,819.223,1.66099,0.89745,1.07707,0.74197,0.71845,0.71609,0.27692,2.17803,1.43018,1.36589,0.00993068,0.00993068,0.00993068
10,909.113,1.6391,0.88113,1.06678,0.78435,0.7129,0.71997,0.27137,2.20082,1.30377,1.38968,0.00991232,0.00991232,0.00991232
11,998.764,1.61773,0.85272,1.06119,0.77235,0.73726,0.72606,0.27099,2.13158,1.22916,1.35128,0.00989183,0.00989183,0.00989183
12,1088.61,1.6037,0.84493,1.05599,0.82201,0.77645,0.78635,0.30565,2.04903,1.27569,1.31877,0.00986922,0.00986922,0.00986922
13,1178.21,1.59094,0.83371,1.0478,0.79823,0.71486,0.74256,0.2888,2.16031,1.32538,1.38229,0.00984449,0.00984449,0.00984449
14,1267.72,1.59411,0.82237,1.04992,0.80211,0.76391,0.76361,0.29832,2.04164,1.22294,1.3177,0.00981765,0.00981765,0.00981765
15,1357.31,1.56853,0.79845,1.0399,0.78761,0.73755,0.73566,0.27953,2.15413,1.28552,1.3642,0.00978873,0.00978873,0.00978873
16,1446.81,1.56582,0.78944,1.04068,0.76176,0.75177,0.72611,0.27887,2.15478,1.33368,1.35969,0.00975773,0.00975773,0.00975773
17,1536.51,1.54789,0.78639,1.03602,0.80588,0.76199,0.76336,0.28857,2.11317,1.22273,1.36039,0.00972466,0.00972466,0.00972466
18,1626.23,1.54849,0.77892,1.03776,0.80103,0.77342,0.74963,0.29201,2.07411,1.26497,1.34515,0.00968955,0.00968955,0.00968955
19,1716.43,1.53491,0.76479,1.0301,0.79785,0.76119,0.73877,0.29457,2.11013,1.29735,1.36408,0.00965239,0.00965239,0.00965239
20,1805.87,1.52651,0.75465,1.03109,0.81213,0.75905,0.76559,0.30293,2.07327,1.17256,1.32219,0.00961322,0.00961322,0.00961322
21,1895.82,1.51547,0.74573,1.02994,0.81169,0.76525,0.75545,0.29948,2.08587,1.20808,1.34338,0.00957205,0.00957205,0.00957205
22,1985.42,1.52358,0.74625,1.02857,0.80681,0.78673,0.77822,0.29832,2.09722,1.26236,1.35083,0.00952889,0.00952889,0.00952889
23,2075.2,1.50589,0.73425,1.02188,0.78689,0.78071,0.7595,0.29608,2.06668,1.19027,1.33759,0.00948377,0.00948377,0.00948377
24,2164.75,1.51085,0.73764,1.02262,0.79602,0.76063,0.74242,0.2856,2.08499,1.187,1.32027,0.00943671,0.00943671,0.00943671
25,2254.22,1.49893,0.72794,1.02089,0.8016,0.78879,0.77637,0.31108,2.06239,1.19462,1.33555,0.00938772,0.00938772,0.00938772
