epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.71,1.96319,2.5916,1.21543,0.65015,0.63961,0.64257,0.09346,0.22625,2.22638,1.44591,1.4479,0.00332982,0.00332982,0.00332982
2,509.537,1.80534,1.15074,1.14936,0.6953,0.65084,0.6765,0.12047,0.24947,2.12681,1.54799,1.42652,0.00666243,0.00666243,0.00666243
3,756.603,1.84426,1.16058,1.16656,0.68777,0.64092,0.64753,0.10146,0.22364,2.26211,1.60201,1.50408,0.00999215,0.00999215,0.00999215
4,1002.5,1.84683,1.16939,1.17041,0.6701,0.68062,0.67239,0.13044,0.24622,2.24125,1.51304,1.44457,0.00999023,0.00999023,0.00999023
5,1247.86,1.79058,1.0746,1.14616,0.70048,0.6934,0.74459,0.17794,0.29389,2.15465,1.5036,1.39944,0.00998264,0.00998264,0.00998264
6,1494.15,1.75853,1.0193,1.13307,0.70733,0.64493,0.67951,0.14171,0.25621,2.19494,1.36008,1.41552,0.00997288,0.00997288,0.00997288
7,1739.96,1.72429,0.97196,1.12102,0.77971,0.69456,0.70627,0.14164,0.25803,2.20829,1.44674,1.42569,0.00996097,0.00996097,0.00996097
8,1985.59,1.68557,0.92529,1.10524,0.79771,0.7299,0.73454,0.15169,0.27282,2.14601,1.37676,1.39403,0.0099469,0.0099469,0.0099469
9,2232.93,1.6673,0.89846,1.09961,0.77208,0.75005,0.76086,0.18185,0.30482,2.06228,1.38681,1.3723,0.00993068,0.00993068,0.00993068
10,2477.87,1.64935,0.88174,1.09915,0.80827,0.74836,0.74768,0.16831,0.29319,2.11283,1.32851,1.39394,0.00991232,0.00991232,0.00991232
11,2724.11,1.62802,0.85035,1.08948,0.8103,0.76186,0.76947,0.16126,0.30305,2.10839,1.28656,1.38763,0.00989183,0.00989183,0.00989183
12,2972.78,1.61737,0.83357,1.07943,0.79291,0.77029,0.75409,0.2042,0.30697,2.00672,1.28585,1.33385,0.00986922,0.00986922,0.00986922
13,3221.81,1.60745,0.82439,1.0814,0.79989,0.7465,0.73609,0.17681,0.27975,2.09761,1.32326,1.36542,0.00984449,0.00984449,0.00984449
14,3466.93,1.5903,0.81422,1.07048,0.75344,0.72745,0.70289,0.1627,0.27365,2.10279,1.32808,1.39671,0.00981765,0.00981765,0.00981765
15,3712.07,1.58774,0.80337,1.06623,0.80177,0.76607,0.75146,0.17802,0.29445,2.11181,1.2668,1.38205,0.00978873,0.00978873,0.00978873
16,3957.13,1.5732,0.78232,1.06308,0.81197,0.78796,0.79227,0.21895,0.33136,2.03554,1.18063,1.35349,0.00975773,0.00975773,0.00975773
17,4202.17,1.55679,0.77212,1.05955,0.80191,0.76994,0.7647,0.20735,0.3163,2.00884,1.23587,1.33688,0.00972466,0.00972466,0.00972466
18,4447.43,1.54902,0.76185,1.0567,0.84367,0.77315,0.77868,0.19144,0.31494,2.0515,1.20191,1.36099,0.00968955,0.00968955,0.00968955
19,4691.94,1.53708,0.74963,1.05408,0.82127,0.75411,0.73611,0.18575,0.3013,2.0478,1.25616,1.37889,0.00965239,0.00965239,0.00965239
20,4936.67,1.54219,0.7536,1.05077,0.8198,0.79498,0.77165,0.18337,0.3151,2.0493,1.26125,1.36233,0.00961322,0.00961322,0.00961322
21,5181.69,1.5192,0.74328,1.04822,0.83713,0.78441,0.79492,0.18018,0.31924,2.05749,1.22356,1.38493,0.00957205,0.00957205,0.00957205
22,5426.54,1.52258,0.7459,1.04769,0.81855,0.7822,0.76908,0.2061,0.31768,2.07434,1.21732,1.36941,0.00952889,0.00952889,0.00952889
23,5671.44,1.50888,0.72715,1.03933,0.82266,0.77282,0.78031,0.20899,0.32668,2.04495,1.12723,1.36321,0.00948377,0.00948377,0.00948377
24,5916.28,1.50764,0.71771,1.0446,0.80175,0.78093,0.77626,0.2213,0.32862,2.01513,1.17929,1.35463,0.00943671,0.00943671,0.00943671
