epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.015,5.22122,9.49742,4.21189,0,0,0,0,0,4.98808,5.36787,4.19796,0.00333158,0.00333158,0.00333158
2,706.37,3.51745,6.55574,3.01342,0.50912,0.17923,0.13414,0.02306,0.0511,2.31629,3.03388,2.35732,0.00666419,0.00666419,0.00666419
3,996.514,2.30823,3.5047,2.0311,0.25883,0.25366,0.15958,0.03876,0.06348,2.24041,2.90053,2.24724,0.0099939,0.0099939,0.0099939
4,1303.31,2.13636,2.61837,1.88121,0.4644,0.35726,0.29479,0.05357,0.11093,2.1428,2.35959,2.13741,0.00999023,0.00999023,0.00999023
5,291.737,2.05621,2.26678,1.80343,0.2584,0.40307,0.31723,0.07933,0.12973,2.10632,2.27193,2.08378,0.00998264,0.00998264,0.00998264
6,579.722,1.98025,2.03105,1.7515,0.63662,0.31331,0.39269,0.07732,0.14738,2.11442,2.09412,2.11285,0.00997288,0.00997288,0.00997288
7,864.894,1.95051,1.89544,1.72354,0.35324,0.46028,0.38749,0.09618,0.1552,2.09611,1.9551,2.09437,0.00996097,0.00996097,0.00996097
8,1149.2,1.91102,1.73963,1.70184,0.45743,0.50053,0.43963,0.09899,0.17057,2.09483,1.94095,2.08459,0.0099469,0.0099469,0.0099469
9,1433.88,1.89344,1.64531,1.67888,0.47432,0.53427,0.5036,0.11265,0.19329,2.05817,1.82557,2.07692,0.00993068,0.00993068,0.00993068
10,1719.24,1.84902,1.55636,1.64989,0.44491,0.57812,0.53308,0.11296,0.19819,2.07464,1.80087,2.09456,0.00991232,0.00991232,0.00991232
11,2003.51,1.82961,1.50232,1.6283,0.47665,0.56221,0.51321,0.12547,0.2131,2.04094,1.77487,2.04964,0.00989183,0.00989183,0.00989183
12,2289.43,1.82754,1.46564,1.63369,0.52762,0.60999,0.57692,0.12869,0.22802,2.08679,1.68993,2.07497,0.00986922,0.00986922,0.00986922
13,2572.6,1.80616,1.39169,1.6171,0.53806,0.56909,0.55599,0.12292,0.22267,2.06967,1.74028,2.05934,0.00984449,0.00984449,0.00984449
14,2854.91,1.78396,1.36709,1.60999,0.61022,0.53507,0.56376,0.14008,0.23043,2.03758,1.77977,2.04928,0.00981765,0.00981765,0.00981765
15,3139.7,1.77786,1.31853,1.60315,0.68153,0.64731,0.67579,0.17824,0.27559,2.02598,1.55845,2.03778,0.00978873,0.00978873,0.00978873
16,3422.97,1.76127,1.28051,1.58993,0.69508,0.62362,0.6691,0.15025,0.27299,2.02145,1.58899,2.03835,0.00975773,0.00975773,0.00975773
17,3708.01,1.76016,1.25358,1.58199,0.66591,0.59642,0.63928,0.13346,0.25453,2.08233,1.66378,2.07772,0.00972466,0.00972466,0.00972466
