epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.955,3.54416,8.7753,4.19287,0,0,0,0,0,3.32163,5.42609,4.14172,0.00330532,0.00330532,0.00330532
2,347.786,3.41121,8.54941,4.1261,0,0,0,0,0,nan,nan,nan,0.00663825,0.00663825,0.00663825
3,513.735,1.63137,4.11289,2.22404,0.06863,0.3937,0.10177,0.01383,0.03784,1.45512,11.0828,2.27208,0.00996955,0.00996955,0.00996955
4,671.135,1.34533,2.64738,1.85198,0.30062,0.21097,0.12315,0.01109,0.0418,1.47671,3.67772,2.28615,0.0099945,0.0099945,0.0099945
5,838.457,1.26221,2.15606,1.74469,0.57595,0.21908,0.19157,0.03172,0.07162,1.3732,3.94086,2.13897,0.00999023,0.00999023,0.00999023
6,999.533,1.21418,1.88605,1.69138,0.42786,0.40496,0.2985,0.05922,0.11775,1.37766,2.33886,2.14527,0.00998474,0.00998474,0.00998474
7,1160.86,1.17957,1.72476,1.65853,0.45445,0.36306,0.34313,0.05826,0.12237,1.40667,2.26727,2.21699,0.00997803,0.00997803,0.00997803
8,1321.94,1.153,1.57519,1.61952,0.4869,0.37342,0.36181,0.09165,0.15027,1.30408,2.05486,2.04264,0.00997011,0.00997011,0.00997011
9,1483.16,1.13547,1.48925,1.60546,0.56082,0.46861,0.50591,0.09661,0.19386,1.27452,1.90161,2.01022,0.00996097,0.00996097,0.00996097
10,1635.66,1.12113,1.40278,1.58644,0.479,0.39161,0.37043,0.0717,0.14392,1.33306,2.25982,2.04727,0.00995062,0.00995062,0.00995062
11,1796.9,1.10409,1.34537,1.56511,0.60725,0.57526,0.60727,0.12983,0.23415,1.30327,1.64257,2.06765,0.00993906,0.00993906,0.00993906
12,1958.12,1.09235,1.2811,1.55619,0.62579,0.48647,0.5286,0.12097,0.21145,1.29332,1.96107,2.05863,0.00992629,0.00992629,0.00992629
13,2119.42,1.08543,1.25623,1.54548,0.59441,0.60859,0.61649,0.14271,0.25025,1.26515,1.56517,1.98873,0.00991232,0.00991232,0.00991232
14,2280.57,1.07062,1.19994,1.53455,0.77074,0.64254,0.7242,0.1826,0.30447,1.24574,1.56454,1.96598,0.00989715,0.00989715,0.00989715
15,2440.28,1.06819,1.18257,1.52496,0.6855,0.60104,0.64221,0.18245,0.28027,1.22165,1.46645,1.94367,0.00988079,0.00988079,0.00988079
16,2601.55,1.06373,1.14396,1.52198,0.6618,0.64901,0.65958,0.15291,0.26627,1.28023,1.54941,2.03285,0.00986323,0.00986323,0.00986323
