epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.456,5.16511,9.0888,4.22211,1e-05,0.00148,1e-05,0,0,4.85804,6.18892,4.64277,0.00332982,0.00332982,0.00332982
2,484.503,3.17675,5.86522,2.83333,0.16781,0.15992,0.14916,0.02878,0.05754,2.2158,2.97724,2.28405,0.00666243,0.00666243,0.00666243
3,710.289,2.20247,3.25775,1.93596,0.31036,0.30312,0.23483,0.04841,0.09369,2.20046,2.64117,2.20256,0.00999215,0.00999215,0.00999215
4,924.679,2.07624,2.55281,1.81296,0.2104,0.38109,0.25591,0.0583,0.10204,2.14412,2.56824,2.15136,0.00999023,0.00999023,0.00999023
5,1163.57,1.99637,2.15486,1.74026,0.38308,0.44872,0.40031,0.09793,0.15862,2.11712,2.07475,2.10548,0.00998264,0.00998264,0.00998264
6,1385.57,1.94164,1.92372,1.69999,0.42267,0.48532,0.43597,0.08411,0.16939,2.09167,2.05911,2.1016,0.00997288,0.00997288,0.00997288
7,1596.38,1.89589,1.76151,1.66982,0.4357,0.52534,0.48289,0.11234,0.18492,2.07812,1.94846,2.08136,0.00996097,0.00996097,0.00996097
8,1802.74,1.8632,1.64549,1.6354,0.60179,0.51106,0.55685,0.10046,0.19409,2.16916,1.87993,2.20382,0.0099469,0.0099469,0.0099469
9,2019.43,1.84103,1.54257,1.62818,0.6107,0.57145,0.59705,0.12515,0.2286,2.07861,1.7393,2.08229,0.00993068,0.00993068,0.00993068
10,2249.13,1.82782,1.47437,1.62222,0.60807,0.57978,0.61275,0.13651,0.23811,2.08519,1.68072,2.08612,0.00991232,0.00991232,0.00991232
11,2478.59,1.80896,1.4217,1.61104,0.63385,0.50502,0.55736,0.12702,0.22073,2.06655,2.15877,2.07148,0.00989183,0.00989183,0.00989183
12,2708.78,1.78825,1.37613,1.58839,0.57625,0.57798,0.57217,0.10936,0.21128,2.10258,1.9083,2.10761,0.00986922,0.00986922,0.00986922
